player_id,player,position,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_yac,rec_yac,rec_drops
WescTr00,Trevon Wesco,TE,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,3,35,0,29,0,0,29,0
ConkTy00,Tyler Conklin,TE,MIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,87,61,593,3,297,0,0,327,3
DaviTy02,Tyler Davis,TE,GNB,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,4,35,0,35,0,0,13,1
HigbTy00,Tyler Higbee,TE,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,85,61,560,5,234,0,0,281,3
KrofTy00,Tyler Kroft,TE,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,25,16,173,1,116,0,0,74,4
MabrTy00,Tyler Mabry,TE,SEA,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
JackTy01,Tyree Jackson,TE,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,3,22,1,13,0,0,7,0
DissWi00,Will Dissly,TE,SEA,0,0,0,0,0,0,0,0,0.0,0,0,0,0,26,21,231,1,190,0,0,143,3
ErtzZa00,Zach Ertz,TE,PHI,0,0,0,0,0,0,0,0,0.0,1,4,0,4,112,74,763,5,316,0,0,340,6
GentZa00,Zach Gentry,TE,PIT,0,0,0,0,0,0,0,0,0.0,0,0,0,0,25,19,167,0,114,0,0,127,0
